geneid	pval	up_down 	pathway_ids
HCON_00007274	0.005934618	none	-
HCON_00007290	0.469574958	none	ko04145,ko04962,ko05132,map04145,map04962,map05132
HCON_00007300	0.270047526	none	-
HCON_00007310	0.011895696	down	ko04142,map04142
HCON_00007340	0.109264663	none	-
HCON_00007360	0.014100589	UP	ko03013,map03013
HCON_00007430	0.031934433	UP	ko03040,map03040
HCON_00007440	0.0000617	UP	-
HCON_00007450	0.048523475	none	ko04962,map04962
HCON_00007460	0.407992545	none	ko04721,map04721
HCON_00007465	0.353973806	none	-
HCON_00007470	0.19864568	none	-
HCON_00007530	0.000211352	down	ko00062,ko00071,ko00280,ko00310,ko00380,ko00410,ko00627,ko00640,ko00650,ko00930,ko01040,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00062,map00071,map00280,map00310,map00380,map00410,map00627,map00640,map00650,map00930,map01040,map01100,map01110,map01120,map01130,map01200,map01212
HCON_00007540	0.402290382	none	ko00970,ko01100,map00970,map01100
HCON_00007590	0.147838606	none	-
HCON_00007610	0.119774138	none	-
HCON_00007620	0.168445295	none	-
HCON_00007650	0.334077303	none	-
HCON_00007665	0.417241002	none	-
HCON_00007670	0.034960697	UP	-
HCON_00007680	0.013106682	down	ko04260,ko04261,ko05416,map04260,map04261,map05416
HCON_00007690	0.012119687	UP	-
HCON_00007730	0.272593411	none	ko04360,map04360
HCON_00007750	0.039305141	down	-
HCON_00007760	0.00407744	UP	ko00563,ko01100,map00563,map01100
HCON_00007775	0.243216671	none	-
HCON_00007780	0.00409355	down	ko04212,ko04213,map04212,map04213
HCON_00007790	0.015705381	down	ko04141,ko04212,ko04213,map04141,map04212,map04213
HCON_00007810	0.018263492	UP	-
HCON_00007820	0.001756294	none	ko04217,ko04218,ko04621,ko04978,map04217,map04218,map04621,map04978
HCON_00007830	0.039822483	UP	-
HCON_00007850	0.185277525	none	-
HCON_00007880	0.021644283	down	-
HCON_00007890	0.000401585	down	ko00562,ko01100,ko04020,ko04070,map00562,map01100,map04020,map04070
HCON_00007900	0.401643292	none	ko00970,ko01100,map00970,map01100
HCON_00007920	0.076401189	none	-
HCON_00007940	0.159911925	none	-
HCON_00007960	0.019131403	down	ko04010,map04010
HCON_00008000	0.006433119	down	ko04210,ko04214,ko05410,ko05412,ko05414,map04210,map04214,map05410,map05412,map05414
HCON_00008020	0.043060541	none	ko00330,ko00480,ko01100,ko01110,ko01130,map00330,map00480,map01100,map01110,map01130
HCON_00008030	0.027156462	down	ko00900,ko01130,map00900,map01130
HCON_00008040	0.000390705	UP	-
HCON_00008050	0.177021622	none	ko04141,map04141
HCON_00008060	0.320348859	none	-
HCON_00008080	0.135446456	none	-
HCON_00008090	0.000195486	down	-
HCON_00008100	0.000154168	UP	-
HCON_00008130	0.080572306	none	ko00562,ko01100,ko04070,ko04136,ko04138,ko04140,ko04145,ko04371,ko05152,ko05167,map00562,map01100,map04070,map04136,map04138,map04140,map04145,map04371,map05152,map05167
HCON_00008140	0.390879061	none	-
HCON_00008170	0.031793947	UP	ko04974,map04974
HCON_00008180	0.006752133	down	-
HCON_00008190	0.017658568	UP	-
HCON_00008200	0.447156697	none	-
HCON_00008220	0.000229252	UP	-
HCON_00008280	0.000622501	none	ko04974,map04974
HCON_00008310	0.151711903	none	ko00040,ko01100,map00040,map01100
HCON_00008330	0.233969795	none	-
HCON_00008370	0.033965047	UP	ko00240,ko00250,ko01100,map00240,map00250,map01100
HCON_00008380	0.165731902	none	-
HCON_00008410	0.312579801	none	-
HCON_00008420	0.000107383	UP	-
HCON_00008430	0.057267815	none	ko03013,ko04138,ko04140,ko04141,ko04210,ko04932,ko05160,ko05162,ko05164,ko05168,map03013,map04138,map04140,map04141,map04210,map04932,map05160,map05162,map05164,map05168
HCON_00008440	0.211047495	none	-
HCON_00008450	0.005852444	UP	ko03010,map03010
HCON_00008460	0.120521991	none	ko03010,map03010
HCON_00008470	0.000171987	UP	-
HCON_00008520	0.004056955	UP	-
HCON_00008540	0.048287619	down	ko04141,ko04212,ko04213,map04141,map04212,map04213
HCON_00008550	0.036880805	down	ko04212,ko04213,map04212,map04213
HCON_00008580	0.122647778	none	ko04141,ko04213,map04141,map04213
HCON_00008600	0.342075846	none	ko04141,ko04212,ko04213,map04141,map04212,map04213
HCON_00008610	0.039944781	down	ko04141,ko04213,map04141,map04213
HCON_00008620	0.055413023	none	ko04212,ko04213,map04212,map04213
HCON_00008630	0.007218755	down	ko04141,ko04212,ko04213,map04141,map04212,map04213
HCON_00008640	0.000586815	down	ko04212,ko04213,map04212,map04213
HCON_00008650	0.003088194	down	ko04212,ko04213,map04212,map04213
HCON_00008660	0.001933525	down	ko04141,ko04212,ko04213,map04141,map04212,map04213
HCON_00008670	0.039109278	down	ko04141,ko04212,ko04213,map04141,map04212,map04213
HCON_00008680	0.015183962	down	ko04141,ko04213,map04141,map04213
HCON_00008690	0.172986964	none	ko04212,ko04213,map04212,map04213
HCON_00008710	0.001240175	down	ko04212,ko04213,map04212,map04213
HCON_00008770	0.004622847	UP	-
HCON_00008790	0.308243432	none	ko04013,ko04310,ko04330,map04013,map04310,map04330
HCON_00008800	0.114448377	none	-
HCON_00008820	0.065460942	none	ko00220,ko00250,ko00710,ko01100,ko01120,ko01200,ko01210,ko01230,map00220,map00250,map00710,map01100,map01120,map01200,map01210,map01230
HCON_00008830	0.137189551	none	ko00220,ko00250,ko00710,ko01100,ko01120,ko01200,ko01210,ko01230,map00220,map00250,map00710,map01100,map01120,map01200,map01210,map01230
HCON_00008840	0.146094691	none	ko04972,map04972
HCON_00008850	0.099429398	none	-
HCON_00008900	0.456935533	none	-
HCON_00008910	0.327439814	none	-
HCON_00008970	0.035734087	down	ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130
HCON_00008990	0.004011868	UP	ko04015,ko04925,map04015,map04925
HCON_00009000	0.338576515	none	ko03050,map03050
HCON_00009030	0.063604697	none	-
HCON_00009040	0.270756254	none	-
HCON_00009050	0.243386254	none	ko03420,map03420
HCON_00009060	0.485580582	none	ko04212,map04212
HCON_00009070	0.190269587	none	ko04144,ko04630,map04144,map04630
HCON_00009100	0.030296985	down	ko04010,ko04114,ko04150,ko04714,ko04720,ko04722,ko04914,ko04931,map04010,map04114,map04150,map04714,map04720,map04722,map04914,map04931
HCON_00009120	0.10831273	none	-
HCON_00009140	0.11485924	none	ko00260,ko01100,map00260,map01100
HCON_00009160	0.017420286	UP	ko00564,map00564
HCON_00009190	0.454242497	none	-
HCON_00009200	0.004380574	down	-
HCON_00009210	0.009731764	down	ko04940,map04940
HCON_00009230	0.001885691	UP	ko00910,map00910
HCON_00009240	0.038592612	none	ko04624,map04624
HCON_00009310	0.235635374	none	-
HCON_00009330	0.013513906	none	-
HCON_00009340	0.34454515	none	ko04014,ko04015,ko04016,ko04020,ko04022,ko04024,ko04070,ko04114,ko04218,ko04261,ko04270,ko04371,ko04626,ko04713,ko04720,ko04722,ko04728,ko04740,ko04744,ko04745,ko04750,ko04910,ko04912,ko04915,ko04916,ko04921,ko04922,ko04924,ko04925,ko04970,ko04971,ko05010,ko05031,ko05034,ko05133,ko05152,ko05167,ko05200,ko05214,ko05418,map04014,map04015,map04016,map04020,map04022,map04024,map04070,map04114,map04218,map04261,map04270,map04371,map04626,map04713,map04720,map04722,map04728,map04740,map04744,map04745,map04750,map04910,map04912,map04915,map04916,map04921,map04922,map04924,map04925,map04970,map04971,map05010,map05031,map05034,map05133,map05152,map05167,map05200,map05214,map05418
HCON_00009350	0.00589578	none	-
HCON_00009360	0.029719303	down	ko04014,ko05200,ko05212,map04014,map05200,map05212
HCON_00009370	0.005269274	UP	-
HCON_00009380	0.170630498	none	ko04144,map04144
HCON_00009390	0.198257465	none	-
HCON_00009400	0.009636856	down	-
HCON_00009410	0.012704202	UP	-
